比赛日期,比赛,比赛场次,比赛小场,对阵双方,胜方,战队,队员,位置,所选英雄,击杀,死亡,助攻,击杀小兵数量,击杀中立生物量,在我方野区击杀中立生物,在敌方野区击杀中立生物,获取金钱数,插眼数,拆眼数,购买真眼数,参与推塔数,游戏结束时等级,死亡时长,输出伤害总量,对英雄造成伤害,对英雄造成物理伤害,对英雄造成魔法伤害,承受英雄伤害,承受英雄物理伤害,承受英雄魔法伤害,双杀次数,三杀次数,四杀次数,五杀次数,装备1,装备2,装备3,装备4,装备5,装备6,饰品
2017.01.22	,2017职业联赛	,第一周	,第一场	,EDG vs WE	,EDG	,EDG	,EDGMeiko	,SUPPORT	,荆棘之兴-婕拉	,1	,1	,7	,56	,9	,0	,9	,12155	,72	,29	,22	,2	,14	,46	,55972	,10411	,324	,10012	,12103	,7243	,4859	,0	,0	,0	,0	,守望之眼	,法师之靴	,瑞莱的冰晶节杖	,兰德里的折磨	,（空）	,（空）	,神谕改造	
2017.01.22	,2017职业联赛	,第一周	,第一场	,EDG vs WE	,EDG	,EDG	,EDGScout	,MID	,魔蛇之拥-卡西奥佩娅	,4	,1	,8	,316	,34	,28	,6	,16773	,20	,10	,4	,2	,18	,61	,246626	,16732	,180	,15877	,15571	,8022	,7549	,0	,0	,0	,0	,恶魔法典	,炽天使之拥	,灭世者的死亡之帽	,莫雷洛秘典	,负极斗篷	,虚空之杖	,远见改造	
2017.01.22	,2017职业联赛	,第一周	,第一场	,EDG vs WE	,EDG	,EDG	,EDGFireloli	,JUNGLE	,虚空掠夺者-卡兹克	,2	,2	,7	,169	,125	,74	,51	,13593	,23	,21	,17	,1	,17	,93	,178990	,7221	,5751	,1230	,29928	,25736	,4071	,0	,0	,0	,0	,（空）	,布甲	,黑色切割者	,附魔：战士	,玛莫提乌斯之噬	,水银之靴	,神谕改造	
2017.01.22	,2017职业联赛	,第一周	,第一场	,EDG vs WE	,EDG	,EDG	,EDGZet	,ADC	,戏命师-烬	,2	,0	,10	,336	,9	,3	,6	,16247	,18	,6	,3	,2	,18	,0	,265981	,23269	,14741	,7240	,8157	,3011	,5146	,1	,0	,0	,0	,水银饰带	,夺萃之镰	,多米尼克领主的致意	,无尽之刃	,疾射火炮	,轻灵之靴	,远见改造	
2017.01.22	,2017职业联赛	,第一周	,第一场	,EDG vs WE	,EDG	,WE	,WExiye	,MID	,符文法师-瑞兹	,2	,1	,1	,370	,11	,11	,0	,14765	,21	,6	,8	,0	,18	,61	,282417	,12222	,412	,11810	,17358	,10358	,6349	,0	,0	,0	,0	,炽天使之拥	,时光之杖	,控制守卫	,灭世者的死亡之帽	,明朗之靴	,虚空之杖	,远见改造	
2017.01.22	,2017职业联赛	,第一周	,第一场	,EDG vs WE	,EDG	,WE	,WEMystic	,ADC	,皮城女警-凯特琳	,3	,3	,1	,402	,11	,11	,0	,15333	,14	,22	,3	,2	,16	,85	,265161	,18931	,18225	,506	,17873	,9749	,7684	,1	,0	,0	,0	,狂战士胫甲	,格斗手套	,无尽之刃	,卢安娜的飓风	,疾射火炮	,饮血剑	,远见改造	
2017.01.22	,2017职业联赛	,第一周	,第一场	,EDG vs WE	,EDG	,WE	,WECondi	,JUNGLE	,蜘蛛女皇-伊莉丝	,1	,3	,4	,203	,138	,83	,55	,12420	,43	,16	,11	,1	,16	,68	,165220	,8458	,708	,7726	,21474	,13885	,7439	,0	,0	,0	,0	,附魔：符能回声	,负极斗篷	,深渊权杖	,兰德里的折磨	,锁子甲	,疾行之靴	,神谕改造	
2017.01.22	,2017职业联赛	,第一周	,第一场	,EDG vs WE	,EDG	,WE	,WEZero	,SUPPORT	,魂锁典狱长-锤石	,0	,3	,4	,58	,0	,0	,0	,8671	,67	,20	,13	,0	,14	,68	,16441	,2483	,468	,2015	,17127	,11391	,5346	,0	,0	,0	,0	,疾行之靴	,控制守卫	,季分之眼	,钢铁烈阳之匣	,晶体护腕	,禁忌雕像	,神谕改造	
2017.01.22	,2017职业联赛	,第一周	,第一场	,EDG vs WE	,EDG	,WE	,WE957	,TOP	,圣锤之毅-波比	,1	,3	,3	,335	,17	,5	,12	,13388	,25	,11	,7	,0	,18	,96	,176027	,5956	,4569	,1387	,24445	,11610	,11942	,0	,0	,0	,0	,负极斗篷	,冰川护甲	,日炎斗篷	,振奋盔甲	,忍者足具	,亡者的板甲	,监视图腾（饰品）	
2017.01.22	,2017职业联赛	,第一周	,第二场	,EDG vs WE	,EDG	,EDG	,EDGKoro1	,TOP	,圣锤之毅-波比	,4	,2	,5	,314	,4	,4	,0	,15183	,19	,4	,4	,1	,18	,109	,197450	,18496	,11539	,6567	,29513	,21826	,7321	,0	,0	,0	,0	,守护天使	,冰脉护手	,水银之靴	,振奋盔甲	,日炎斗篷	,巨人腰带	,监视图腾（饰品）	
