英雄,位置,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,BAN,第一轮ban,第二轮ban,PICK,BAN+PICK
Miss Fortune,Support,247.12730714600366,229.35163274942798,2175.75,2024.4285714285713,1.0146904512067156,1.0514403880981764,0.15573330470259825,0.1345684522396422,0.0,7.0,4.0,0.0,0,0,0,1,1
Taliyah,Middle,622.6553188086817,408.07659049706916,2662.847022142191,7788.119047619048,1.4810893539526035,1.3184563949450057,0.28874843101562003,0.16319294808264947,5.285714285714286,2.0,5.285714285714286,0.7142857142857143,14,2,12,7,21
Camille,Top,484.27935269923535,375.4259734077684,3585.879018361794,10280.789743589743,1.225691553084217,1.0864494349131826,0.23082506442353906,0.2611937078168269,4.153846153846154,3.3846153846153846,4.615384615384615,0.5384615384615384,76,69,7,13,89
Ahri,Middle,457.4200410812532,348.1204934274194,4405.7828328534215,8746.115686274508,1.2597141022195582,1.1625277555394484,0.24793178994648393,0.1808500148375475,2.6470588235294117,2.9411764705882355,3.764705882352941,0.35294117647058826,16,0,16,17,33
Fiora,Top,455.7186979331502,367.5349283856691,4207.541666666666,7767.4375,1.1492810378078557,0.9102685105613143,0.1865762501851877,0.21209368441994342,3.75,3.25,1.75,0.25,3,0,3,4,7
Gragas,Top,400.30883891642736,356.79502469589823,3118.2921325051752,17596.503623188408,1.0779990232004628,1.0024318506374004,0.20564199683911324,0.25529661697058315,2.0,1.9565217391304348,5.043478260869565,0.4782608695652174,18,8,10,23,41
Gragas,Jungle,312.3201920201966,308.31542414157644,1643.5571089181287,8634.60138888889,0.9541501274769707,0.8465592130980671,0.15812223186887953,0.29950722021990733,1.25,3.9166666666666665,7.5,0.3333333333333333,18,8,10,12,30
LeBlanc,Middle,464.44262305428856,350.97308076264574,2853.9940303773024,10909.802083333334,1.2380989717186048,1.1781369213640243,0.25376322785124267,0.18542092247683978,4.375,2.625,3.625,0.5,54,51,3,8,62
Malzahar,Support,314.34249766330754,282.51388258822504,1990.2146130104463,4937.907407407407,1.0160578416377528,0.8423735018163833,0.13910466482997683,0.1476807667761849,0.8333333333333334,3.5,6.944444444444445,0.3333333333333333,67,62,5,18,85
Alistar,Support,95.34904401964904,214.868830591565,1191.3333333333333,5482.0,0.4178162263268646,0.5139709080671478,0.07426030585106383,0.19942764290738002,1.0,3.0,2.0,0.0,0,0,0,1,1
Olaf,Top,472.26082817660904,371.7372679672806,1181.2142857142858,10509.666666666666,1.2234223570318858,1.0,0.2,0.2,4.0,3.0,10.0,1.0,6,5,1,1,7
Orianna,Middle,509.652878085991,398.4932983439358,2219.126542702033,9077.30061728395,1.2209416645408429,1.148591616373579,0.25509828489205844,0.14847239716211133,3.5925925925925926,1.8518518518518519,6.481481481481482,0.5925925925925926,16,0,16,27,43
Vladimir,Middle,517.5691798045561,367.77775204904987,3922.22700547609,11139.50010351967,1.3278915797098019,1.1949621986646837,0.2601173244522667,0.22670724214617644,3.9130434782608696,3.217391304347826,3.608695652173913,0.34782608695652173,28,9,19,23,51
Leona,Support,887.2916666666666,492.95138888888886,2839.3333333333335,11444.0,1.738722188201674,1.0,0.2,0.2,0.0,0.0,9.0,1.0,0,0,0,1,1
Swain,Top,720.8086956528008,332.5043478263761,3070.1111111111113,4646.142857142857,2.085988222859731,1.7969382528284552,0.3779993980683466,0.31222279822590865,7.0,7.0,2.0,0.0,3,1,2,1,4
Rek'Sai,Jungle,223.83612680733117,304.3152525207003,1884.011111111111,16145.886111111111,0.7085414130449436,0.7781897989347017,0.15011437494906912,0.35328315213552575,1.6666666666666667,3.0,3.3333333333333335,0.16666666666666666,1,0,1,6,7
Tahm Kench,Support,164.4284631516959,268.2811841631994,1265.713914141414,12677.933333333332,0.5527338632623418,0.4740341601111992,0.07462641585167601,0.19791520611617985,1.0,2.8,5.7,0.7,11,4,7,10,21
Gnar,Top,544.6962451365632,406.9242047781833,2429.3928571428573,18076.125,1.3173038620072304,1.2296156367547788,0.27365241656367073,0.2601323085485122,3.75,1.75,5.75,0.75,1,1,0,4,5
Jayce,Top,461.6142378998764,395.63958075556894,2354.0436507936506,8695.111111111111,1.134991667201485,1.0039570932558992,0.2058548931439076,0.1735087560735116,2.6666666666666665,2.3333333333333335,4.333333333333333,0.6666666666666666,27,18,9,3,30
Camille,Support,244.1513190644541,284.94773519192125,583.9285714285714,6355.5,0.8141619360621452,0.6632527968389142,0.0987473878749079,0.2203576412665667,2.0,4.0,12.0,1.0,76,69,7,1,77
Jhin,ADC,459.09854670062356,370.8683459136887,2909.366828484762,8622.690650406505,1.1745098313644537,1.1004811296889287,0.24393544165170108,0.12372529565788593,3.048780487804878,1.7073170731707317,5.024390243902439,0.4146341463414634,8,0,8,41,49
Lucian,ADC,471.02493074792244,406.7590027700831,1308.0,6803.0,1.11986301369863,0.9580069282337987,0.21482716798059429,0.18658036559110294,5.0,2.0,8.0,1.0,0,0,0,1,1
Nautilus,Top,372.17008446991616,351.86992674518194,3093.1846878281985,13601.218269230769,1.010692074949112,0.9250709636564906,0.18594656299384701,0.21559745296495436,1.5769230769230769,1.8653846153846154,6.4423076923076925,0.6153846153846154,21,11,10,52,73
Kalista,ADC,417.3847383165157,393.5710607321018,1914.6238095238093,5586.5,1.0145292558131758,1.0620046886508796,0.24545699631123,0.1392624890858696,3.3333333333333335,2.3333333333333335,5.333333333333333,0.3333333333333333,2,0,2,3,5
Lee Sin,Jungle,261.6754117237507,329.03080145866045,1216.0354542343177,13735.139898989899,0.7427601922955237,0.6659688839409064,0.1289021875884406,0.30034146875075257,2.909090909090909,2.696969696969697,6.333333333333333,0.5454545454545454,13,7,6,33,46
Katarina,Middle,354.9367888750663,336.31479140349956,1336.9285714285713,10145.0,1.0264326843981355,1.0,0.2,0.2,4.0,5.0,10.0,0.0,0,0,0,1,1
Elise,Jungle,413.0760242636724,366.7121924162185,1827.5339956339953,10680.214285714286,1.055244215349292,0.9000813451776669,0.17554780962015593,0.24812081781260864,2.761904761904762,2.7142857142857144,6.476190476190476,0.7619047619047619,22,13,9,21,43
Ziggs,ADC,506.24228462371275,387.238606515161,5000.103496503496,7720.5,1.2949157954516808,1.1578393809854552,0.2538340620699685,0.12928291075972198,2.6,2.4,5.0,0.6,5,1,4,5,10
Thresh,Support,113.72998414089776,253.39309232788025,564.4510625737898,7245.5508658008675,0.4188037912598142,0.44712557298224626,0.06774276766343772,0.15663270681872837,0.7272727272727273,3.0,8.272727272727273,0.6363636363636364,6,1,5,11,17
Zilean,Support,212.11684370274062,264.013657056346,776.5833333333334,11248.5,0.7702289445408711,0.7514186623074159,0.12009794445518397,0.15000800149361215,2.0,2.0,10.0,1.0,2,0,2,1,3
Kennen,Top,419.5706652063735,367.671438293392,5010.625,8173.283333333335,1.0965340187849184,1.0488236076986188,0.22844268401574935,0.22659558991392076,1.8,3.2,2.6,0.2,6,3,3,5,11
Talon,Middle,514.9374700593129,396.3742053766658,1903.7705905205905,11589.130303030302,1.2578197486687221,1.055707744470116,0.23681322806369953,0.20433705755981393,4.818181818181818,2.3636363636363638,5.2727272727272725,0.5454545454545454,28,7,21,11,39
Ashe,ADC,431.02200526292506,391.7215854014324,2285.5165120033525,9192.679365079366,1.0627556686247268,0.9967817132115403,0.2165065718446993,0.15122976713491706,2.7142857142857144,1.9285714285714286,6.333333333333333,0.6428571428571429,18,7,11,42,60
Graves,Jungle,385.12914521164157,354.26541312185543,2438.9600195439484,11023.821825396826,1.0196662922999418,0.9113850010937276,0.18493358320192316,0.23546277986615427,2.9761904761904763,2.4285714285714284,4.619047619047619,0.4523809523809524,52,50,2,42,94
Kha'zix,Jungle,334.35543688084334,337.92147292083354,2672.0222676500453,14059.518988830103,0.9512395982989679,0.8550626474614513,0.16761088505632296,0.2920383417806578,2.4814814814814814,2.740740740740741,3.8518518518518516,0.4074074074074074,9,3,6,27,36
Zilean,Middle,437.58454627304326,371.5250471345162,2959.2996031746034,11860.166666666666,1.1348199347352559,1.133571796637525,0.2523399867907577,0.16172749930431346,2.2857142857142856,1.7142857142857142,6.428571428571429,0.42857142857142855,2,0,2,7,9
Kled,Top,393.81667748558726,361.0141130444622,2290.7374999999997,10286.25,0.9466152054438381,0.7670948354313885,0.1524251586870187,0.24386635995387795,1.75,2.75,5.75,0.5,6,2,4,4,10
