gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,cssharepost15,csat10,oppcsat10,csdat10,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
30279,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30279?gameHash=2cbf09c183061635&tab=overview,LCK,2017-1,42752.167662037,1.1,2,7.01,9,Red,ADC,Sangyoon,ROX Tigers,Ashe,LeBlanc,Camille,Rengar,44.0166666667,0,3,1,4,12,16,0,0,0,0,0,0,7.3656666667,0.0681560015,0.136312003,0.6361226808,0,11.7172166667,2,3,0,1,0,0,0,0,0,0,,,0,12.38695,1,0,2,10,0,27.1295333333,0,2,17951,407.8227943961,0.2260148066,0.2800174248,14,0.3180613404,0.0669856459,14,0.3180613404,5,5,,,18756,297.913517607,18825,-0.046692607,437,32,32,0,10.6550549034,0.3587174349,80,90,-10,3036,3259,-223,4917,5531,-614,3461,3152,309
30279,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30279?gameHash=2cbf09c183061635&tab=overview,LCK,2017-1,42752.167662037,1.1,2,7.01,10,Red,Support,Key,ROX Tigers,Bard,LeBlanc,Camille,Rengar,44.0166666667,0,0,3,7,12,16,0,0,0,0,0,0,7.3656666667,0,0.0227186672,0.6361226808,0,11.7172166667,2,3,0,0,0,0,0,0,0,0,,,0,12.38695,1,0,2,10,0,27.1295333333,0,2,6413,145.694812571,0.0807438558,0.1143323269,94,2.1355547141,0.4497607656,38,0.8633093525,22,26,,,10997,121.6393790231,10570,-0.0279850746,60,0,0,0,1.3631200303,0.0551102204,2,15,-13,1889,2047,-158,3185,3496,-311,2446,2440,6
30279,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30279?gameHash=2cbf09c183061635&tab=overview,LCK,2017-1,42752.167662037,1.1,2,7.01,100,Blue,Team,Team,KT Rolster,,Maokai,Malzahar,Elise,44.0166666667,1,16,12,37,16,12,,,,,0,1,7.3656666667,0.3634986747,0.2726240061,0.6361226808,1,11.7172166667,3,2,3,1,0,0,1,2,0,1,,,1,12.38695,0,1,10,2,1,27.1295333333,2,0,92954,2111.790988262,,,187,4.2483907611,1,70,1.590306702,44,48,0.5873015873,0.2260273973,86916,1333.6266565695,80245,0.0949645922,1272,285,139,146,35.3729647861,,306,294,12,15474,14919,555,24805,23666,1139,18636,18522,114
30279,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30279?gameHash=2cbf09c183061635&tab=overview,LCK,2017-1,42752.167662037,1.1,2,7.01,200,Red,Team,Team,ROX Tigers,,LeBlanc,Camille,Rengar,44.0166666667,0,12,16,24,12,16,,,,,1,0,7.3656666667,0.2726240061,0.3634986747,0.6361226808,0,11.7172166667,2,3,1,3,0,0,0,1,1,0,,,0,12.38695,1,0,2,10,0,27.1295333333,0,2,79424,1804.4074214313,,,209,4.7482014388,1,82,1.8629307081,59,65,0.6909090909,0.3333333333,75044,1063.9106399091,72970,-0.0949645922,1272,178,119,59,32.9420673987,,294,306,-12,14919,15474,-555,23666,24805,-1139,18522,18636,-114
30284,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30284?gameHash=1182d84df2c13028&tab=overview,LCK,2017-1,42752.2111921296,1.1,1,7.01,1,Blue,Top,Expession,Longzhu Gaming,Singed,Cassiopeia,Ryze,Varus,33.7,1,1,0,11,22,6,0,0,0,0,0,0,7.7318,0.0296735905,0.059347181,0.8308605341,0,12.4588166667,3,0,0,0,0,0,0,0,0,0,,,1,10.6430833333,0,1,11,1,1,28.9608666667,1,0,9780,290.2077151335,0.1146716381,0.1905481715,14,0.4154302671,0.128440367,5,0.1483679525,0,0,,,13194,261.540652819,13050,0.3174250832,260,10,2,8,8.0118694362,0.2504258944,78,79,-1,2999,3072,-73,4816,4835,-19,4669,4699,-30
30284,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30284?gameHash=1182d84df2c13028&tab=overview,LCK,2017-1,42752.2111921296,1.1,1,7.01,2,Blue,Jungle,Crash,Longzhu Gaming,Rengar,Cassiopeia,Ryze,Varus,33.7,1,5,3,9,22,6,1,0,0,0,0,0,7.7318,0.1483679525,0.0296735905,0.8308605341,1,12.4588166667,3,0,3,0,1,1,0,1,0,0,,,1,10.6430833333,0,1,11,1,1,28.9608666667,1,0,13819,410.059347181,0.1620293831,0.1974446337,13,0.3857566766,0.119266055,18,0.5341246291,7,7,,,13513,271.0065281899,12320,0.2178217822,51,151,83,68,5.9940652819,0.1856899489,53,50,3,3122,3125,-3,5288,4754,534,3394,3694,-300
30284,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30284?gameHash=1182d84df2c13028&tab=overview,LCK,2017-1,42752.2111921296,1.1,1,7.01,3,Blue,Middle,Fly,Longzhu Gaming,Taliyah,Cassiopeia,Ryze,Varus,33.7,1,4,0,10,22,6,0,0,0,0,1,0,7.7318,0.118694362,0.0296735905,0.8308605341,0,12.4588166667,3,0,0,0,0,0,0,0,0,0,,,1,10.6430833333,0,1,11,1,1,28.9608666667,1,0,19108,567.0029673591,0.2240435236,0.1994552011,18,0.5341246291,0.1651376147,5,0.1483679525,5,5,,,13606,273.7661721068,12525,0.0490797546,260,3,3,0,7.8041543027,0.2572402044,70,90,-20,3308,3320,-12,4968,5394,-426,4165,4871,-706
30284,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30284?gameHash=1182d84df2c13028&tab=overview,LCK,2017-1,42752.2111921296,1.1,1,7.01,4,Blue,ADC,PraY,Longzhu Gaming,Jhin,Cassiopeia,Ryze,Varus,33.7,1,10,1,10,22,6,2,0,0,0,0,0,7.7318,0.296735905,0,0.8308605341,0,12.4588166667,3,0,0,0,0,0,0,0,0,0,,,1,10.6430833333,0,1,11,1,1,28.9608666667,1,0,25396,753.590504451,0.2977710554,0.2594695561,17,0.5044510386,0.1559633028,3,0.0890207715,4,4,,,16382,356.1400593472,14850,0.2366142029,275,11,5,6,8.4866468843,0.2521294719,94,72,22,3749,2892,857,5901,4662,1239,3397,2950,447
30284,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30284?gameHash=1182d84df2c13028&tab=overview,LCK,2017-1,42752.2111921296,1.1,1,7.01,5,Blue,Support,Gorilla,Longzhu Gaming,Miss Fortune,Cassiopeia,Ryze,Varus,33.7,1,2,2,11,22,6,0,0,0,0,0,0,7.7318,0.059347181,0.059347181,0.8308605341,0,12.4588166667,3,0,0,0,0,0,0,0,0,0,,,1,10.6430833333,0,1,11,1,1,28.9608666667,1,0,17184,509.9109792285,0.2014843997,0.1530824376,47,1.3946587537,0.4311926606,16,0.4747774481,13,14,,,11461,210.1163204748,10675,0.3397260274,45,1,0,1,1.3649851632,0.0545144804,6,3,3,2157,2191,-34,3885,3338,547,2621,2401,220
30284,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30284?gameHash=1182d84df2c13028&tab=overview,LCK,2017-1,42752.2111921296,1.1,1,7.01,6,Red,Top,CuVee,Samsung Galaxy,Poppy,LeBlanc,Camille,Ashe,33.7,0,2,4,0,6,22,0,0,0,0,0,0,7.7318,0.059347181,0.0296735905,0.8308605341,0,12.4588166667,0,3,0,0,0,0,0,0,0,0,,,0,10.6430833333,1,0,1,11,0,28.9608666667,0,1,8983,266.5578635015,0.1373106495,0.195361058,20,0.5934718101,0.16,6,0.178041543,5,5,,,10596,184.4486646884,9475,-0.3174250832,248,1,0,1,7.3887240356,0.2026578073,79,78,1,3072,2999,73,4835,4816,19,4699,4669,30
