英雄,位置,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,BAN,第一轮ban,第二轮ban,PICK,BAN+PICK
Viktor,Middle,593.6096314651667,390.7581669653822,5009.6,8283.166666666666,1.4366768333696274,1.4990583113456881,0.34675541912349217,0.14897621720570936,4.0,1.5,2.0,0.5,0,0,0,2,2
Miss Fortune,Support,455.7530483258248,273.42629893800586,4006.0572916666665,4937.9125,1.585978980436993,1.3790971478103753,0.2296074789054299,0.13474543496420002,2.0,2.75,4.5,0.25,5,0,5,4,9
Camille,Top,389.60650504923944,366.14042920322083,2988.944431610056,12473.76726190476,1.024509728091752,1.095944406661845,0.23774504807541236,0.2804797897490571,2.3125,2.75,3.9375,0.375,67,58,9,16,83
Janna,Support,129.51184146943402,231.93813436465143,744.3333333333334,10791.0,0.5255354200988468,0.4348605616667781,0.06437384686346863,0.12006675938803894,0.0,1.0,6.0,0.0,0,0,0,1,1
Ahri,Middle,575.2457936163453,391.1237825997245,1914.5547798606624,9563.142307692307,1.4289566347432978,1.2726633607343312,0.27780378006616846,0.16867487648903995,4.769230769230769,2.076923076923077,7.769230769230769,0.6923076923076923,4,0,4,13,17
Jayce,Top,557.5539869453708,364.9367137235241,6183.046428571428,5865.041666666667,1.4825094166046033,1.4007221947409962,0.3156923864948837,0.19805372708212624,4.25,3.25,3.0,0.25,53,46,7,4,57
Gragas,Jungle,251.5916441061632,315.4203247047442,1429.6458333333333,14360.625,0.7514796266008603,0.7541447706835689,0.14459149468560367,0.28950551115580925,1.75,3.0,6.25,0.5,5,4,1,4,9
LeBlanc,Middle,464.0059825431377,373.353082074696,2897.3040824915824,8415.866666666667,1.1572953778177704,1.1144731113277218,0.24078177483177834,0.19407796508395933,3.5,2.3333333333333335,3.6666666666666665,0.5,90,89,1,6,96
Malzahar,Support,234.6762213166317,268.11670033773913,1098.551059704185,5144.093298059965,0.8337561964917058,0.7881345836792164,0.11796661072651854,0.1319236115763258,1.25,3.1666666666666665,8.666666666666666,0.75,55,50,5,36,91
Alistar,Support,101.49511873577302,211.6218853017088,1076.638888888889,3743.0833333333335,0.4357791518126849,0.4283345941999288,0.05816084030670508,0.20242102836448805,0.0,5.0,9.5,0.0,0,0,0,2,2
