选手,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,选取英雄频次,赛区,位置,出场次数
Ninja,407.8635981517619,377.90878162481744,2867.690740740741,7531.76388888889,1.0317112043006742,1.0705256715779068,0.23315545504440083,0.19791142174836765,3.3333333333333335,2.6666666666666665,4.0,0.3333333333333333,Ahri-1 Ekko-1 Jayce-2 Orianna-1 Talon-1,NALCS,Middle,6
esA,836.4049955791891,440.87097229531616,2559.0584415584417,24000.0,1.8357435987543922,1.499803750404591,0.3575675517084873,0.14532530130853732,7.0,1.0,11.0,1.0,Ashe-1 Ezreal-1,CBLoL,ADC,2
HeaQ,387.85176949583933,375.05070274237795,2826.4151002506264,6598.916666666667,0.9906223502125293,1.0583312691934506,0.23642427087890025,0.10816836726883812,3.6666666666666665,1.5,4.166666666666667,0.5,Caitlyn-1 Jhin-3 Ziggs-2,EULCS,ADC,6
Tusin,174.5552052028824,269.3163287469295,525.9102474323063,10170.26,0.598076142784919,0.5202252048502782,0.07707682872191253,0.15255219451385055,1.2,2.0,10.2,0.8,Camille-1 Lulu-3 Malzahar-1,LCK,Support,5
MapleSnow,324.60846585615684,341.4394519394646,1737.795054945055,11439.0,0.9209445182140561,0.8633541694257951,0.17244445657865412,0.2598072594682859,1.0,3.0,7.0,0.6,Gragas-1 Maokai-1 Nautilus-3,LMS,Top,5
ikssu,355.61225919279633,334.10765993115746,2633.9873511904757,13197.020833333334,1.0270155826321803,0.921929862247168,0.18607694757232088,0.28494896152271304,3.0,2.5,6.25,0.5,Gragas-2 Nautilus-2,LCK,Top,4
LUSKKA,257.6216238227188,362.2843453950243,3220.7954545454545,6903.25,0.6873441866869898,0.8371208343520651,0.18208314361137487,0.11054880179744003,2.0,1.0,4.5,0.5,Ashe-2,CBLoL,ADC,2
Ziriguidun,150.07766773890654,269.961649046313,484.20769230769235,6002.6,0.5336354786378208,0.4747446526704389,0.06985695116998877,0.12249262711249392,1.5,3.5,15.0,1.0,Lulu-1 Zyra-1,CBLoL,Support,2
3z,475.3146845004917,371.28712987839793,2160.2000890313393,17372.583333333332,1.2175158192694606,1.153975285097392,0.24788660420378986,0.2508216303249793,2.3333333333333335,1.6666666666666667,7.666666666666667,0.6666666666666666,Camille-2 Maokai-1 Rumble-3,LMS,Top,6
Jensen,741.7619907980783,425.1326511230579,2558.067857142857,11602.500000000002,1.7208334204797147,1.2386968871761876,0.288657755415447,0.20114010872588958,6.2,2.8,5.4,0.6,Ahri-1 Ekko-3 Viktor-1,NALCS,Middle,5
PraY,491.5247515798485,342.33923771156356,4457.7625,4568.770833333334,1.3747328187670669,1.1959548044908086,0.27403182178625185,0.15331543880989196,1.75,3.5,2.5,0.0,Ezreal-2 Jhin-2,LCK,ADC,4
xiaohu,669.1610219498175,453.6068562664749,3355.458333333333,7936.25,1.4179309582842547,1.0,0.2,0.18710308550220628,3.0,1.0,3.5,1.0,Ryze-1 Vladimir-1,LPL,Middle,2
MorZB,351.6792067306181,363.092050047673,2245.65873015873,8834.222222222223,0.9074338273607135,1.0,0.20000000000000004,0.15938920088212435,0.3333333333333333,2.3333333333333335,5.0,0.3333333333333333,Braum-1 Lulu-1 Nami-1,LPL,Support,3
Punch,224.01359068338016,308.0873236946969,1421.3221288515408,7207.583333333333,0.6727985123025776,0.7307304805012126,0.13745855321260542,0.2760043509723831,2.2,4.2,4.8,0.2,Elise-1 Lee Sin-3 Rengar-1,LCK,Jungle,5
Wisdom,306.3780212209852,335.11935614175235,2751.35946969697,11107.088888888888,0.8616519390656597,0.8239223383594388,0.16583017399494812,0.3132925849104669,2.3333333333333335,4.666666666666667,4.666666666666667,0.3333333333333333,Elise-1 Graves-3 Lee Sin-2,EULCS,Jungle,6
Xmithie,306.7334561138372,326.32708495771885,2304.502564102564,11219.5,0.9042828387165548,0.8820494206509222,0.17689232437086871,0.26342432061162785,1.8,2.8,4.4,0.4,Gragas-1 Graves-3 Rengar-1,NALCS,Jungle,5
4LaN,314.2925747736431,306.5204798800247,2619.1346153846152,12362.333333333334,0.9739419915502321,0.868305713349411,0.1795797145992291,0.3178917107402439,4.0,3.0,3.5,0.0,Kha'zix-2,CBLoL,Jungle,2
Samux,449.64686670564623,400.4842202940129,2563.192948717949,12533.0,1.0894252101561561,1.1043229879231924,0.23871061384018355,0.11979025012215093,3.6666666666666665,1.0,5.0,0.6666666666666666,Caitlyn-1 Jhin-2,EULCS,ADC,3
Key,193.62660494715837,242.2979486375118,1189.6,7154.166666666666,0.7449386725394923,0.6452376004202255,0.09498817249249908,0.15243403929147847,0.4,2.4,8.8,0.4,Karma-3 Lulu-2,LCK,Support,5
Ambition,317.992075233553,380.67401897391863,1411.7922077922076,14563.125,0.8214709030267425,0.6403072530277603,0.1262178030308284,0.30797717142272474,2.5,2.5,6.5,1.0,Graves-1 Kha'zix-1,LCK,Jungle,2
zig,507.92150520940845,398.2991322125171,1578.975251831502,21028.5,1.2353714976030774,1.0661761055589296,0.22525785567141973,0.24428294046277427,4.0,1.25,8.75,1.0,Gangplank-1 Kled-2 Nautilus-1,NALCS,Top,4
Biofrost,111.31296306313509,249.19455117683944,634.4786324786324,6290.333333333333,0.4319677827780762,0.5226033079374741,0.07392389342483009,0.10378959617431316,0.5,1.6666666666666667,8.166666666666666,0.6666666666666666,Karma-2 Lulu-4,NALCS,Support,6
Apollo,450.36350542592737,383.77017066770486,2540.1546296296297,5341.25,1.1400463312071416,1.0702444043107329,0.2367376354225064,0.1229637676895984,3.1666666666666665,1.8333333333333333,4.166666666666667,0.3333333333333333,Ezreal-1 Jhin-2 Ziggs-3,NALCS,ADC,6
Swift,287.2704459171111,333.91109502748776,1980.622619047619,10788.283333333335,0.7936118952145024,1.0,0.2,0.3031327024669457,1.4,3.0,3.4,0.2,Graves-2 Kha'zix-1 Rek'Sai-1 Rengar-1,LPL,Jungle,5
AmazingJ,417.4471999752333,349.0370161461632,2818.9536199095023,15094.929999999998,1.155121630578519,1.0,0.2,0.26762175300550817,2.2,2.6,8.2,0.4,Camille-1 Kled-1 Nautilus-2 Shen-1,LPL,Top,5
Bjergsen,419.92458093298154,409.27671114636195,1736.388888888889,8256.638888888889,0.9891107025817064,1.1920443416918842,0.27418981431814315,0.16512765579541683,3.8333333333333335,2.0,5.166666666666667,0.6666666666666666,Ahri-1 Ekko-1 Ryze-2 Talon-1 Viktor-1,NALCS,Middle,6
Cool,287.2704459171111,333.91109502748776,1852.5166666666664,9083.066666666668,0.7936118952145024,1.0,0.2,0.16595801350273065,3.4,2.2,2.6,0.2,Ahri-1 Cassiopeia-1 LeBlanc-1 Ryze-1 Syndra-1,LPL,Middle,5
Bebe,450.44709056878315,363.62373915884064,8999.066666666668,4283.083333333333,1.2573195953009573,1.0404739846222453,0.22494089817589727,0.1265767029792308,1.3333333333333333,2.6666666666666665,4.666666666666667,0.3333333333333333,Ashe-1 Ezreal-1 Jhin-1,LMS,ADC,3
Rakin,331.5626788776971,408.15111619873136,689.5714285714286,12783.0,0.7795542635658915,0.8343684602977681,0.17709862048723216,0.17197632180815284,3.0,0.0,11.0,1.0,Zilean-1,CBLoL,Middle,1
micaO,466.2193470375916,493.10615637900105,1220.3954545454546,5388.75,0.9126171466008219,0.9265680369212401,0.22913193482492725,0.1125468970946304,5.5,1.5,5.0,1.0,Ashe-2,CBLoL,ADC,2
Ranger,311.29642498454126,330.62422975667977,2069.8444444444444,19682.25,0.908148509612623,1.102977289294334,0.2207585198196632,0.319193747230828,2.0,1.0,5.0,0.5,Gragas-1 Graves-1,CBLoL,Jungle,2
Flawless,249.2838874677119,303.41432225025136,6498.0,6051.0,0.7727434891188013,1.0,0.2,0.27333503982654,1.0,3.0,0.0,0.0,Lee Sin-1,LPL,Jungle,1
GuGer,103.54219712703765,234.27725392821762,600.9652777777777,7964.833333333333,0.4045263229697702,0.3982359704334802,0.05596799653894982,0.16522676100190734,0.0,3.0,8.0,0.3333333333333333,Lulu-2 Tahm Kench-1,LCK,Support,3
Dioud,91.16636824937193,236.55392684929038,883.3333333333333,4532.675,0.3616752879008713,0.2544208553902857,0.03829917145596916,0.13320998431470182,0.5,4.5,6.5,0.0,Lulu-1 Nami-1,CBLoL,Support,2
Flandre,349.73029813137487,379.6148325502745,2391.458888888889,13431.233333333334,0.895673509463456,1.0,0.2,0.3082774208396859,1.4,2.8,4.4,0.8,Gragas-4 Renekton-1,LPL,Top,5
K,192.65469224331576,293.9789475998603,2539.958333333333,8256.75,0.6301960349288482,0.7317463391059025,0.14390806403936907,0.36345995889926197,1.0,4.0,2.5,0.0,Graves-1 Lee Sin-1,LMS,Jungle,2
Hakuho,231.19189706878626,260.675583118514,1212.6738101223395,6663.616666666666,0.8193279392828856,0.8028247432917537,0.12449259352199894,0.13139054797515093,1.5,1.8333333333333333,7.166666666666667,0.3333333333333333,Braum-2 Malzahar-2 Nami-1 Zyra-1,NALCS,Support,6
Uzi,669.1610219498175,453.6068562664749,2418.992424242424,5376.5,1.4179309582842547,1.0,0.2,0.15417132242968207,4.5,2.0,4.0,1.0,Ezreal-1 Varus-1,LPL,ADC,2
Matsukaze,621.5473207593512,428.22180670741807,3960.6666666666665,7561.666666666666,1.4389758963445256,1.3819342994609827,0.32527682786603795,0.13456534330663028,4.5,1.5,6.0,1.0,Ezreal-1 Jhin-1,CBLoL,ADC,2
intruder,401.9799139167862,380.88952654232423,1751.125,10832.333333333334,1.0170611296645855,1.0,0.2,0.3200823426280694,3.0,3.0,5.0,0.0,Kha'zix-1,LPL,Jungle,1
Mikyx,171.19707314958558,225.88073320130943,1884.6944444444446,8346.888888888889,0.7273278855175817,0.7454011535934328,0.10628606357593524,0.13671333397332303,0.0,1.6666666666666667,5.0,0.3333333333333333,Karma-2 Tahm Kench-1,EULCS,Support,3
imp,480.1267056471554,379.50890203664085,1918.2171717171716,9204.75,1.2238440920914877,1.0,0.2,0.1518655396421422,3.5,2.5,6.5,0.0,Ezreal-1 Sivir-1,LPL,ADC,2
sOAZ,656.416055846538,350.94471159288287,7662.383333333334,11266.361111111111,1.7784962663046933,1.209301101871432,0.26603671886289026,0.33461704537015785,2.6666666666666665,4.0,3.6666666666666665,0.3333333333333333,Nautilus-1 Renekton-1 Rumble-1,EULCS,Top,3
Gate,205.9345553210656,241.06557273503614,1149.7999999999997,3822.5733333333337,0.8146243698879128,0.6672422689164079,0.09993473508280087,0.12224534387175537,0.6,4.2,8.8,0.2,Karma-2 Lulu-1 Malzahar-2,NALCS,Support,5
Albis,79.80672646241578,207.2012945275852,1443.1666666666665,7653.375,0.35672698650059786,0.4008335930968731,0.05676289396934804,0.13297372063068325,0.5,2.5,1.5,0.0,Lulu-2,LMS,Support,2
Perkz,454.5630310531978,392.83139244484914,2573.1987179487182,9594.333333333334,1.0845370602305124,0.9975961121981619,0.2175947358074984,0.1832125791119146,3.6666666666666665,1.6666666666666667,4.0,0.6666666666666666,Ahri-1 Cassiopeia-1 Zed-1,EULCS,Middle,3
firel0li,345.880986859334,268.7880920170599,1722.5912698412696,8079.25,1.1669831446938137,1.0,0.20000000000000004,0.2600976436210188,2.6666666666666665,5.333333333333333,8.333333333333334,0.6666666666666666,Graves-1 Kha'zix-1 Rengar-1,LPL,Jungle,3
Loop,148.23821354169957,277.78244885184546,802.5,9194.666666666666,0.5094475838655694,0.5012939905476339,0.07792443882112002,0.14674603498128605,1.0,1.5,9.5,1.0,Karma-1 Lulu-1,CBLoL,Support,2
Looper,333.62372485157147,336.6097356437889,1958.8340659340658,9691.116666666667,0.9492214794087983,0.7444436079547992,0.15516099854967502,0.2997858181888772,1.8,4.2,6.2,0.2,Nautilus-1 Renekton-2 Shen-2,NALCS,Top,5
Mickey,521.6864558899721,389.015741918875,2805.921794871795,7401.160000000001,1.287831498234028,1.0990469075578821,0.25509197154529184,0.22873829782748648,4.8,3.4,4.0,0.4,Ahri-1 Ryze-3 Vladimir-1,LCK,Middle,5
jinjiao,417.4471999752333,349.0370161461632,2136.9613912231557,5500.733333333333,1.155121630578519,1.0,0.2,0.1272068361156074,3.6,3.0,7.4,0.4,Ashe-1 Caitlyn-1 Ezreal-1 Jhin-2,LPL,ADC,5
Pony,195.63044509716906,315.4940217072419,1826.2083333333335,18589.541666666664,0.5869668830032033,0.7464369992023374,0.1510033092251578,0.30801687168413566,3.0,2.25,3.75,0.5,Graves-1 Kha'zix-1 Lee Sin-1 Rengar-1,LMS,Jungle,4
Phaxi,372.6078602576323,364.1648211054281,8463.017272727271,14801.266666666666,0.9976044272707089,0.801454506735112,0.16360413660317305,0.24951984976542793,2.2,2.8,5.6,0.8,Gnar-2 Jayce-1 Maokai-1 Renekton-1,EULCS,Top,5
Mystic,872.9092802575902,410.4756138877277,3247.636842105263,6622.75,2.099366086399996,1.0,0.2,0.13524486668724034,8.0,2.0,4.0,1.0,Ezreal-1 Jhin-1,LPL,ADC,2
Yampi,235.254458590173,295.83778061307567,2236.972222222222,22916.333333333332,0.7533206769056155,0.8058869235931496,0.15997591463085448,0.360679292124908,2.5,2.0,3.0,0.5,Kha'zix-2,CBLoL,Jungle,2
Pobelter,548.463240238177,434.4684530012226,4399.412380952381,9440.773333333333,1.2191545368382424,1.2007386326900102,0.27387911219699146,0.1737355346056888,5.6,1.6,3.4,0.6,Cassiopeia-1 Jayce-1 Katarina-1 Orianna-2,NALCS,Middle,5
Wadid,230.66825330034763,266.19795326493863,4160.015384615384,7604.7666666666655,0.8239389028084554,0.687659545242972,0.10344249838379935,0.1284510565007257,0.8,3.0,9.2,0.8,Malzahar-3 Tahm Kench-1 Zyra-1,EULCS,Support,5
Savoki,503.22153336005977,397.495908372093,2546.3944444444446,5347.095238095238,1.2316809551988024,1.0,0.20000000000000004,0.17391144243430848,2.0,4.666666666666667,8.333333333333334,0.6666666666666666,Malzahar-2 Tahm Kench-1,LPL,Support,3
Expect,355.3483487654883,349.37303038557246,5604.490740740741,12460.944444444445,0.9958732590599949,0.9211534363941144,0.18127614538499806,0.2591402803668272,0.3333333333333333,1.6666666666666667,5.333333333333333,0.6666666666666666,Nautilus-1 Shen-2,EULCS,Top,3
Breaker,153.65735380763002,316.36481936893824,2241.1925925925925,11525.666666666666,0.476433721610491,0.42400946949323765,0.08205589977481655,0.294985720916161,2.0,3.0,6.333333333333333,0.3333333333333333,Ivern-1 Kha'zix-1 Lee Sin-1,LMS,Jungle,3
ayel,423.8834324921977,376.286034385462,1613.9285714285716,11159.75,1.072194131148943,1.0924349854826165,0.2084197260298843,0.24387866898204574,1.5,1.5,5.5,1.0,Camille-1 Nautilus-1,CBLoL,Top,2
Haru,302.1476884597134,358.63121215698493,2196.3777777777777,21631.833333333332,0.777868133534288,0.7890370746652042,0.1687898702193242,0.28960631559522765,4.666666666666667,2.0,2.6666666666666665,0.3333333333333333,Rengar-3,LCK,Jungle,3
Ssumday,444.31049549620303,381.3330560672813,1592.7277777777776,10853.666666666668,1.12982951561373,1.0782615365882884,0.22642776732312023,0.2567196483422868,2.2,2.4,9.2,0.8,Gragas-1 Nautilus-4,NALCS,Top,5
road,459.4880281021136,360.44268962014115,2201.4846726190476,8047.8125,1.2507161659434485,1.0,0.2,0.13756595800922644,0.5,2.75,12.0,0.5,Karma-2 Lulu-1 Nami-1,LPL,Support,4
Dreamer,122.70204874122363,255.7517154831808,981.3958333333334,6709.583333333333,0.45306434895708536,0.4675683216100092,0.07036388927337038,0.15344825153868372,1.1666666666666667,2.8333333333333335,7.166666666666667,0.6666666666666666,Lulu-1 Malzahar-1 Nautilus-1 Tahm Kench-1 Thresh-2,LMS,Support,6
Impact,411.0814509420997,361.5814400925825,2160.85,11930.25,1.1074715429807551,0.8656283309943571,0.17415360500564686,0.2833049632193917,2.5,2.5,6.0,0.5,Maokai-1 Poppy-1,NALCS,Top,2
